"","A","B"
"2294","MAR04812","TNRC6B"
"3160","MAR04812","ADSL"
"2295","MAR04814","ATIC"
"2296","MAR05301","UCK1"
"3161","MAR05301","UCK2"
"4112","MAR05301","UCKL1"
"2297","MAR05353","GUK1"
"2298","MAR06601","ALLC"
"2299","MAR06602","PRDX6"
"3162","MAR06602","EPX"
"4113","MAR06602","PXDN"
"581","MAR06602","PXDNL"
"653","MAR06602","LPO"
"2300","MAR06603","PRDX6"
"3163","MAR06603","EPX"
"4114","MAR06603","PXDN"
"582","MAR06603","PXDNL"
"654","MAR06603","LPO"
"2307","MAR07144","TRPM2"
"3164","MAR07144","NUDT5"
"4115","MAR07144","ADPRM"
"583","MAR07144","NUDT9"
"2308","MAR08755","XDH"
"2313","MAR04016","NME1-NME2"
"3165","MAR04016","NME3"
"4116","MAR04016","NME4"
"584","MAR04016","NME5"
"655","MAR04016","NME7"
"745","MAR04016","NME6"
"826","MAR04016","NME1"
"923","MAR04016","NME2"
"2314","MAR04018","NME1-NME2"
"3166","MAR04018","NME3"
"4117","MAR04018","NME4"
"585","MAR04018","NME5"
"656","MAR04018","NME7"
"746","MAR04018","NME6"
"827","MAR04018","NME1"
"924","MAR04018","NME2"
"2315","MAR04044","NME1-NME2"
"3167","MAR04044","NME3"
"4118","MAR04044","NME4"
"586","MAR04044","NME5"
"657","MAR04044","NME7"
"747","MAR04044","NME6"
"828","MAR04044","NME1"
"925","MAR04044","NME2"
"2316","MAR04291","NME1-NME2"
"3168","MAR04291","NME3"
"4119","MAR04291","NME4"
"587","MAR04291","NME5"
"658","MAR04291","NME7"
"748","MAR04291","NME6"
"829","MAR04291","NME1"
"926","MAR04291","NME2"
"2317","MAR04420","NME1-NME2"
"3169","MAR04420","NME3"
"4120","MAR04420","NME4"
"588","MAR04420","NME5"
"659","MAR04420","NME7"
"749","MAR04420","NME6"
"830","MAR04420","NME1"
"927","MAR04420","NME2"
"2318","MAR04570","NME1-NME2"
"3170","MAR04570","NME3"
"4121","MAR04570","NME4"
"589","MAR04570","NME5"
"660","MAR04570","NME7"
"750","MAR04570","NME6"
"831","MAR04570","NME1"
"928","MAR04570","NME2"
"2319","MAR04572","NME1-NME2"
"3171","MAR04572","NME3"
"4122","MAR04572","NME4"
"590","MAR04572","NME5"
"661","MAR04572","NME7"
"751","MAR04572","NME6"
"832","MAR04572","NME1"
"929","MAR04572","NME2"
"2320","MAR04006","NME1-NME2"
"3172","MAR04006","NME3"
"4123","MAR04006","NME4"
"591","MAR04006","NME5"
"662","MAR04006","NME7"
"752","MAR04006","NME6"
"833","MAR04006","NME1"
"930","MAR04006","NME2"
"2321","MAR04028","NME1-NME2"
"3173","MAR04028","NME3"
"4124","MAR04028","NME4"
"592","MAR04028","NME5"
"663","MAR04028","NME7"
"753","MAR04028","NME6"
"834","MAR04028","NME1"
"931","MAR04028","NME2"
"2322","MAR04030","NME1-NME2"
"3174","MAR04030","NME3"
"4125","MAR04030","NME4"
"593","MAR04030","NME5"
"664","MAR04030","NME7"
"754","MAR04030","NME6"
"835","MAR04030","NME1"
"932","MAR04030","NME2"
"2323","MAR04670","NME1-NME2"
"3175","MAR04670","NME3"
"4126","MAR04670","NME4"
"594","MAR04670","NME5"
"665","MAR04670","NME7"
"755","MAR04670","NME6"
"836","MAR04670","NME1"
"933","MAR04670","NME2"
"2324","MAR04673","NME1-NME2"
"3176","MAR04673","NME3"
"4127","MAR04673","NME4"
"595","MAR04673","NME5"
"666","MAR04673","NME7"
"756","MAR04673","NME6"
"837","MAR04673","NME1"
"934","MAR04673","NME2"
"2325","MAR04675","NME1-NME2"
"3177","MAR04675","NME3"
"4128","MAR04675","NME4"
"596","MAR04675","NME5"
"667","MAR04675","NME7"
"757","MAR04675","NME6"
"838","MAR04675","NME1"
"935","MAR04675","NME2"
"2326","MAR06614","NME1-NME2"
"3178","MAR06614","NME3"
"4129","MAR06614","NME4"
"597","MAR06614","NME5"
"668","MAR06614","NME7"
"758","MAR06614","NME6"
"839","MAR06614","NME1"
"936","MAR06614","NME2"
"2327","MAR06615","NME1-NME2"
"3179","MAR06615","NME3"
"4130","MAR06615","NME4"
"598","MAR06615","NME5"
"669","MAR06615","NME7"
"759","MAR06615","NME6"
"840","MAR06615","NME1"
"937","MAR06615","NME2"
"2328","MAR06616","NME1-NME2"
"3180","MAR06616","NME3"
"4131","MAR06616","NME4"
"599","MAR06616","NME5"
"670","MAR06616","NME7"
"760","MAR06616","NME6"
"841","MAR06616","NME1"
"938","MAR06616","NME2"
"2329","MAR04635","NME1-NME2"
"3181","MAR04635","NME3"
"4132","MAR04635","NME4"
"5100","MAR04635","NME5"
"671","MAR04635","NME7"
"761","MAR04635","NME6"
"842","MAR04635","NME1"
"939","MAR04635","NME2"
"2330","MAR03793","AGXT2"
"2331","MAR03931","TXNRD2"
"3182","MAR03931","TXNRD3"
"4133","MAR03931","TXNRD1"
"2332","MAR03969","UCK1"
"3183","MAR03969","UCK2"
"2333","MAR03970","NT5C2"
"3184","MAR03970","NT5C1A"
"4134","MAR03970","NT5C3A"
"5101","MAR03970","NT5C"
"672","MAR03970","NT5E"
"762","MAR03970","NT5C3B"
"843","MAR03970","NT5C1B"
"940","MAR03970","NT5M"
"1020","MAR03970","NT5C1B-RDH14"
"2334","MAR04008","CMPK1"
"2335","MAR04032","CTPS2"
"3185","MAR04032","CTPS1"
"2336","MAR04034","CAD"
"2337","MAR04036","UMPS"
"2338","MAR04050","CAD"
"2339","MAR04056","ACP3"
"3186","MAR04056","NT5C2"
"4135","MAR04056","NT5C1A"
"5102","MAR04056","NT5C3A"
"673","MAR04056","NT5C"
"763","MAR04056","NT5E"
"844","MAR04056","NT5C3B"
"941","MAR04056","RBAK"
"1021","MAR04056","NT5C1B"
"1117","MAR04056","NT5M"
"1215","MAR04056","NT5C1B-RDH14"
"2340","MAR04059","ENTPD2"
"3187","MAR04059","ENTPD1"
"4136","MAR04059","ENTPD3"
"5103","MAR04059","CANT1"
"674","MAR04059","ENTPD5"
"764","MAR04059","ENTPD8"
"845","MAR04059","ENTPD4"
"942","MAR04059","ENTPD6"
"2341","MAR04060","ENTPD2"
"3188","MAR04060","ENTPD1"
"4137","MAR04060","ENTPD3"
"5104","MAR04060","CANT1"
"675","MAR04060","ENTPD5"
"765","MAR04060","ENTPD8"
"846","MAR04060","ENTPD4"
"943","MAR04060","ENTPD6"
"2342","MAR04127","ENPP3"
"3189","MAR04127","NUDT14"
"4138","MAR04127","ENPP1"
"2343","MAR04177","ACP3"
"3190","MAR04177","NT5C2"
"4139","MAR04177","NT5C1A"
"5105","MAR04177","NT5C3A"
"676","MAR04177","NT5C"
"766","MAR04177","NT5E"
"847","MAR04177","NT5C3B"
"944","MAR04177","RBAK"
"1022","MAR04177","NT5C1B"
"1118","MAR04177","NT5M"
"1216","MAR04177","NT5C1B-RDH14"
"2344","MAR04179","ACP3"
"3191","MAR04179","NT5C2"
"4140","MAR04179","NT5C1A"
"5106","MAR04179","NT5C3A"
"677","MAR04179","NT5C"
"767","MAR04179","NT5E"
"848","MAR04179","NT5C3B"
"945","MAR04179","RBAK"
"1023","MAR04179","NT5C1B"
"1119","MAR04179","NT5M"
"1217","MAR04179","NT5C1B-RDH14"
"2345","MAR04182","FAM20B"
"3192","MAR04182","FN3KRP"
"4141","MAR04182","NOL9"
"5107","MAR04182","FN3K"
"678","MAR04182","FGGY"
"2346","MAR04183","ENTPD1"
"3193","MAR04183","ENTPD3"
"4142","MAR04183","ENTPD8"
"2347","MAR04192","ENTPD1"
"3194","MAR04192","ENTPD3"
"4143","MAR04192","ENTPD8"
"2348","MAR04194","CTPS2"
"3195","MAR04194","CTPS1"
"2349","MAR04210","PKM"
"3196","MAR04210","PKLR"
"2350","MAR04211","ITPA"
"2351","MAR04343","UPRT"
"2352","MAR04345","DPYD"
"2353","MAR04346","DPYSL2"
"3197","MAR04346","DPYSL3"
"4144","MAR04346","DPYS"
"2354","MAR04470","DPYD"
"2355","MAR04471","DPYD"
"2356","MAR04472","DPYD"
"2357","MAR04484","ACP3"
"3198","MAR04484","NT5C2"
"4145","MAR04484","NT5C1A"
"5108","MAR04484","NT5C3A"
"679","MAR04484","NT5C"
"768","MAR04484","NT5E"
"849","MAR04484","NT5C3B"
"946","MAR04484","RBAK"
"1024","MAR04484","NT5C1B"
"1120","MAR04484","NT5M"
"1218","MAR04484","NT5C1B-RDH14"
"2358","MAR04485","TYMP"
"3199","MAR04485","PNP"
"2359","MAR04510","ACP3"
"3200","MAR04510","NT5C2"
"4146","MAR04510","NT5C1A"
"5109","MAR04510","NT5C3A"
"680","MAR04510","NT5C"
"769","MAR04510","NT5E"
"850","MAR04510","NT5C3B"
"947","MAR04510","RBAK"
"1025","MAR04510","NT5C1B"
"1121","MAR04510","NT5M"
"1219","MAR04510","NT5C1B-RDH14"
"2360","MAR04512","CMPK1"
"2361","MAR04513","DCK"
"2362","MAR04514","AICDA"
"3201","MAR04514","CDA"
"2363","MAR04577","UMPS"
"2364","MAR04579","UPP2"
"3202","MAR04579","UPP1"
"2365","MAR04580","AICDA"
"3203","MAR04580","CDA"
"4147","MAR04580","APOBEC4"
"2366","MAR04608","CAD"
"2367","MAR04575","DHODH"
"2368","MAR04637","DTYMK"
"2369","MAR04642","NT5C"
"3204","MAR04642","NT5M"
"2370","MAR04643","ITPA"
"3205","MAR04643","DUT"
"2371","MAR04644","TYMS"
"2373","MAR04676","UCK1"
"3206","MAR04676","UCK2"
"4148","MAR04676","UCKL1"
"2374","MAR04736","DPYS"
"2375","MAR04819","UPB1"
"2376","MAR05299","UCK1"
"3207","MAR05299","UCK2"
"4149","MAR05299","UCKL1"
"2377","MAR05352","UCK1"
"3208","MAR05352","UCK2"
"4150","MAR05352","UCKL1"
"2380","MAR05417","TXNRD2"
"3209","MAR05417","TXNRD3"
"4151","MAR05417","TXNRD1"
"2381","MAR06612","DTYMK"
"2382","MAR06613","DTYMK"
"2385","MAR06623","TK1"
"2386","MAR06624","TK2"
"2387","MAR06627","PKM"
"3210","MAR06627","PKLR"
"2388","MAR07744","RPUSD4"
"2391","MAR03965","DUT"
"2392","MAR03966","ITPA"
"2393","MAR03967","CMPK1"
"2394","MAR03968","DTYMK"
"2395","MAR03999","ENTPD1"
"3211","MAR03999","ENTPD3"
"4152","MAR03999","ENTPD8"
"2396","MAR04024","CMPK1"
"2397","MAR04026","CMPK2"
"2398","MAR04054","TK1"
"2399","MAR04061","ENTPD1"
"3212","MAR04061","ENTPD3"
"4153","MAR04061","ENTPD8"
"2400","MAR04083","ADK"
"3213","MAR04083","DCK"
"2401","MAR04136","ENTPD2"
"3214","MAR04136","DNM2"
"4154","MAR04136","DNM1L"
"5110","MAR04136","EEF1A2"
"681","MAR04136","DNM1"
"770","MAR04136","ENTPD1"
"851","MAR04136","EFL1"
"948","MAR04136","EEF1A1"
"1026","MAR04136","GFM2"
"1122","MAR04136","EEF2"
"1220","MAR04136","ENTPD3"
"136","MAR04136","GFM1"
"146","MAR04136","CANT1"
"156","MAR04136","TUFM"
"165","MAR04136","ENTPD5"
"175","MAR04136","ENTPD8"
"185","MAR04136","ENTPD4"
"193","MAR04136","ENTPD6"
"203","MAR04136","DNM3"
"2402","MAR04180","UCK1"
"3215","MAR04180","UCK2"
"4155","MAR04180","UCKL1"
"2403","MAR04185","PAPSS1"
"3216","MAR04185","PAPSS2"
"2404","MAR04186","PAPSS1"
"3217","MAR04186","PAPSS2"
"2405","MAR04342","ENTPD2"
"3218","MAR04342","ENTPD1"
"4156","MAR04342","ENTPD3"
"5111","MAR04342","CANT1"
"682","MAR04342","ENTPD5"
"771","MAR04342","ENTPD8"
"852","MAR04342","ENTPD4"
"949","MAR04342","ENTPD6"
"2407","MAR04483","TK2"
"2408","MAR04507","DCTD"
"2409","MAR04516","DCTPP1"
"2413","MAR04601","DGUOK"
"2414","MAR04633","ADA"
"2415","MAR04640","DTYMK"
"2416","MAR04641","TK1"
"2417","MAR04680","UPP2"
"3219","MAR04680","UPP1"
"2418","MAR04806","GART"
"2420","MAR06625","TK2"
"2421","MAR06626","NT5C"
"3220","MAR06626","NT5M"
"3221","MAR07160","REV3L"
"4157","MAR07160","POLQ"
"5112","MAR07160","POLB"
"683","MAR07160","POLI"
"772","MAR07160","RFC5"
"853","MAR07160","TENT4A"
"950","MAR07160","POLK"
"1027","MAR07160","POLM"
"1123","MAR07160","POLN"
"1221","MAR07160","MYBBP1A"
"137","MAR07160","POLG"
"147","MAR07160","POLL"
"157","MAR07160","POLH"
"166","MAR07160","POLG2"
"3222","MAR07161","PAPOLG"
"4158","MAR07161","TENT2"
"5113","MAR07161","TUT4"
"3223","MAR07162","PAPOLG"
"4159","MAR07162","TENT2"
"5114","MAR07162","TUT4"
"3224","MAR07163","ATRIP"
"4160","MAR07163","TREX2"
"5115","MAR07163","TREX1"
"3225","MAR07164","ATRIP"
"4161","MAR07164","TREX2"
"5116","MAR07164","TREX1"
"2427","MAR07713","NT5C2"
"3226","MAR07713","NT5C1A"
"4162","MAR07713","NT5C3A"
"5117","MAR07713","NT5C"
"684","MAR07713","NT5E"
"773","MAR07713","NT5C3B"
"854","MAR07713","NT5C1B"
"951","MAR07713","NT5M"
"1028","MAR07713","NT5C1B-RDH14"
"2428","MAR07716","NT5C2"
"3227","MAR07716","NT5C1A"
"4163","MAR07716","NT5C3A"
"5118","MAR07716","NT5C"
"685","MAR07716","NT5E"
"774","MAR07716","NT5C3B"
"855","MAR07716","NT5C1B"
"952","MAR07716","NT5M"
"1029","MAR07716","NT5C1B-RDH14"
"2429","MAR07717","NT5C2"
"3228","MAR07717","NT5C1A"
"4164","MAR07717","NT5C3A"
"5119","MAR07717","NT5C"
"686","MAR07717","NT5E"
"775","MAR07717","NT5C3B"
"856","MAR07717","NT5C1B"
"953","MAR07717","NT5M"
"1030","MAR07717","NT5C1B-RDH14"
"2430","MAR07721","NT5C2"
"3229","MAR07721","NT5C1A"
"4165","MAR07721","NT5C3A"
"5120","MAR07721","NT5C"
"687","MAR07721","NT5E"
"776","MAR07721","NT5C3B"
"857","MAR07721","NT5C1B"
"954","MAR07721","NT5M"
"1031","MAR07721","NT5C1B-RDH14"
"2431","MAR07725","NT5C2"
"3230","MAR07725","NT5C1A"
"4166","MAR07725","NT5C3A"
"5121","MAR07725","NT5C"
"688","MAR07725","NT5E"
"777","MAR07725","NT5C3B"
"858","MAR07725","NT5C1B"
"955","MAR07725","NT5M"
"1032","MAR07725","NT5C1B-RDH14"
"2432","MAR07728","NT5C2"
"3231","MAR07728","NT5C1A"
"4167","MAR07728","NT5C3A"
"5122","MAR07728","NT5C"
"689","MAR07728","NT5E"
"778","MAR07728","NT5C3B"
"859","MAR07728","NT5C1B"
"956","MAR07728","NT5M"
"1033","MAR07728","NT5C1B-RDH14"
"2433","MAR07800","AK5"
"2434","MAR07801","AK3"
"2435","MAR07802","AK5"
"2436","MAR07863","CMPK1"
"2437","MAR07864","CMPK1"
"2438","MAR07865","CMPK1"
"2439","MAR07866","CMPK1"
"2440","MAR07867","CMPK1"
"2441","MAR07868","CMPK1"
"2442","MAR07869","CMPK1"
"2443","MAR07870","CMPK1"
"2444","MAR07871","CMPK1"
"2445","MAR07872","CMPK1"
"2446","MAR07873","CMPK1"
"2447","MAR07874","CMPK1"
"2448","MAR07875","CMPK2"
"2449","MAR07876","CMPK1"
"2450","MAR07878","NME1-NME2"
"3232","MAR07878","NME3"
"4168","MAR07878","NME4"
"5123","MAR07878","NME5"
"690","MAR07878","NME7"
"779","MAR07878","NME6"
"860","MAR07878","NME1"
"957","MAR07878","NME2"
"2451","MAR07879","ITPA"
"2452","MAR07880","NT5C"
"2453","MAR07881","NME1-NME2"
"3233","MAR07881","NME1"
"4169","MAR07881","NME2"
"2454","MAR07882","NME1-NME2"
"3234","MAR07882","NME1"
"4170","MAR07882","NME2"
"2455","MAR07883","NME1-NME2"
"3235","MAR07883","NME3"
"4171","MAR07883","NME4"
"5124","MAR07883","NME5"
"691","MAR07883","NME7"
"780","MAR07883","AK9"
"861","MAR07883","NME6"
"958","MAR07883","NME1"
"1034","MAR07883","NME2"
"2456","MAR07884","NME1-NME2"
"3236","MAR07884","NME1"
"4172","MAR07884","NME2"
"2457","MAR07885","NME1-NME2"
"3237","MAR07885","NME1"
"4173","MAR07885","NME2"
"2458","MAR07886","NME1-NME2"
"3238","MAR07886","NME3"
"4174","MAR07886","NME4"
"5125","MAR07886","NME5"
"692","MAR07886","NME7"
"781","MAR07886","AK9"
"862","MAR07886","NME6"
"959","MAR07886","NME1"
"1035","MAR07886","NME2"
"2459","MAR07887","NME1-NME2"
"3239","MAR07887","NME1"
"4175","MAR07887","NME2"
"2460","MAR07888","NME1-NME2"
"3240","MAR07888","NME1"
"4176","MAR07888","NME2"
"2461","MAR07889","NME1-NME2"
"3241","MAR07889","NME1"
"4177","MAR07889","NME2"
"2462","MAR07890","NME1-NME2"
"3242","MAR07890","NME3"
"4178","MAR07890","NME4"
"5126","MAR07890","NME5"
"693","MAR07890","NME7"
"782","MAR07890","AK9"
"863","MAR07890","NME6"
"960","MAR07890","NME1"
"1036","MAR07890","NME2"
"2463","MAR07891","NME1-NME2"
"3243","MAR07891","NME1"
"4179","MAR07891","NME2"
"2464","MAR07892","NME1-NME2"
"3244","MAR07892","NME1"
"4180","MAR07892","NME2"
"2465","MAR07893","NME1-NME2"
"3245","MAR07893","NME1"
"4181","MAR07893","NME2"
"2466","MAR07894","NME1-NME2"
"3246","MAR07894","NME3"
"4182","MAR07894","NME4"
"5127","MAR07894","NME5"
"694","MAR07894","NME7"
"783","MAR07894","AK9"
"864","MAR07894","NME6"
"961","MAR07894","NME1"
"1037","MAR07894","NME2"
"2467","MAR07895","NME1-NME2"
"3247","MAR07895","NME3"
"4183","MAR07895","NME4"
"5128","MAR07895","NME5"
"695","MAR07895","NME7"
"784","MAR07895","AK9"
"865","MAR07895","NME6"
"962","MAR07895","NME1"
"1038","MAR07895","NME2"
"2468","MAR08083","PDE4A"
"3248","MAR08083","PDE8A"
"4184","MAR08083","PDE6C"
"5129","MAR08083","PDE4C"
"696","MAR08083","PDE10A"
"785","MAR08083","PDE8B"
"866","MAR08083","PDE4D"
"963","MAR08083","PDE1A"
"1039","MAR08083","PDE1B"
"1124","MAR08083","PDE11A"
"1222","MAR08083","PDE6A"
"138","MAR08083","PDE6B"
"148","MAR08083","IL18BP"
"158","MAR08083","PDE5A"
"167","MAR08083","PDE6H"
"176","MAR08083","PDE3B"
"186","MAR08083","PDE1C"
"194","MAR08083","PDE6D"
"204","MAR08083","PDE9A"
"21102","MAR08083","PDE7B"
"22100","MAR08083","PDE3A"
"23100","MAR08083","PDE4B"
"2469","MAR08083","PDE6G"
"2513","MAR08083","PDE2A"
"2613","MAR08083","PDE7A"
"2470","MAR08085","PDE4A"
"3249","MAR08085","PDE8A"
"4185","MAR08085","PDE6C"
"5130","MAR08085","PDE4C"
"697","MAR08085","PDE10A"
"786","MAR08085","PDE8B"
"867","MAR08085","PDE4D"
"964","MAR08085","PDE1A"
"1040","MAR08085","PDE1B"
"1125","MAR08085","PDE11A"
"1223","MAR08085","PDE6A"
"139","MAR08085","PDE6B"
"149","MAR08085","IL18BP"
"159","MAR08085","PDE5A"
"168","MAR08085","PDE6H"
"177","MAR08085","PDE3B"
"187","MAR08085","PDE1C"
"195","MAR08085","PDE6D"
"205","MAR08085","PDE9A"
"21103","MAR08085","PDE7B"
"22101","MAR08085","PDE3A"
"23101","MAR08085","PDE4B"
"2471","MAR08085","PDE6G"
"2514","MAR08085","PDE2A"
"2614","MAR08085","PDE7A"
"2472","MAR08087","PDE4A"
"3250","MAR08087","PDE8A"
"4186","MAR08087","PDE6C"
"5131","MAR08087","PDE4C"
"698","MAR08087","PDE10A"
"787","MAR08087","PDE8B"
"868","MAR08087","PDE4D"
"965","MAR08087","PDE1A"
"1041","MAR08087","PDE1B"
"1126","MAR08087","PDE11A"
"1224","MAR08087","PDE6A"
"1310","MAR08087","PDE6B"
"1410","MAR08087","IL18BP"
"1510","MAR08087","PDE5A"
"169","MAR08087","PDE6H"
"178","MAR08087","PDE3B"
"188","MAR08087","PDE1C"
"196","MAR08087","PDE6D"
"206","MAR08087","PDE9A"
"21104","MAR08087","PDE7B"
"22102","MAR08087","PDE3A"
"23102","MAR08087","PDE4B"
"2473","MAR08087","PDE6G"
"2515","MAR08087","PDE2A"
"2615","MAR08087","PDE7A"
"2474","MAR08443","NUDT5"
"3251","MAR08443","ADPRM"
"4187","MAR08443","NUDT9"
"2475","MAR08444","NUDT5"
"3252","MAR08444","ADPRM"
"4188","MAR08444","NUDT9"
"2476","MAR08445","UCK1"
"3253","MAR08445","UCK2"
"4189","MAR08445","UCKL1"
"2477","MAR08446","AICDA"
"2478","MAR08448","CMPK1"
"2479","MAR08449","CMPK1"
"2480","MAR08450","CMPK1"
"2481","MAR08451","CMPK1"
"2482","MAR08452","CMPK1"
"2483","MAR08453","CMPK1"
"2484","MAR08454","CMPK1"
"2485","MAR08455","CMPK1"
"2486","MAR08456","CMPK1"
"2487","MAR08457","CMPK1"
"2488","MAR08458","CMPK1"
"2489","MAR08459","CMPK1"
"2490","MAR08460","CMPK1"
"2491","MAR08461","AK5"
"2492","MAR08462","CMPK1"
"2493","MAR08463","CMPK1"
"2494","MAR08464","CMPK1"
"2495","MAR08465","CMPK1"
"2496","MAR08466","CMPK1"
"2497","MAR08467","CMPK1"
"2498","MAR08468","CMPK1"
"2499","MAR08469","CMPK1"
"2500","MAR08470","CMPK1"
"2501","MAR08471","CMPK1"
"2502","MAR08472","CMPK1"
"2503","MAR08473","ADA"
"2504","MAR08474","ENTPD2"
"3254","MAR08474","ENTPD1"
"4190","MAR08474","ENTPD3"
"5132","MAR08474","CANT1"
"699","MAR08474","ENTPD5"
"788","MAR08474","ENTPD8"
"869","MAR08474","ENTPD4"
"966","MAR08474","ENTPD6"
"2505","MAR08477","DCK"
"2506","MAR08478","DCK"
"2507","MAR08479","DCK"
"2508","MAR08480","AICDA"
"2516","MAR08482","TXNRD2"
"3255","MAR08482","TXNRD3"
"4191","MAR08482","TXNRD1"
"2517","MAR08483","DUT"
"2519","MAR08485","CANT1"
"3256","MAR08485","ENTPD4"
"4192","MAR08485","ENTPD6"
"2520","MAR08486","PNP"
"2521","MAR08487","NT5C3A"
"3257","MAR08487","NT5E"
"2522","MAR08488","ITPA"
"2523","MAR08489","ITPA"
"2524","MAR08493","ACP2"
"2525","MAR08494","ACP2"
"2526","MAR08495","ACP2"
"2527","MAR03802","GLUD1"
"3258","MAR03802","GLUD2"
"2528","MAR03804","GLUD1"
"3259","MAR03804","GLUD2"
"2529","MAR03811","ASS1"
"2530","MAR03813","ASL"
"3260","MAR03813","CRCP"
"2531","MAR03822","ALDH4A1"
"2532","MAR03827","GOT2"
"2533","MAR03829","GOT1"
"3261","MAR03829","GOT1L1"
"2534","MAR03831","FH"
"2535","MAR03862","ASRGL1"
"3262","MAR03862","ASPG"
"2536","MAR03865","GOT2"
"2537","MAR03870","GSR"
"2538","MAR03873","CPS1"
"2539","MAR08654","CPS1"
"2540","MAR03890","GLUL"
"3263","MAR03890","LGSN"
"2541","MAR03892","GLS"
"2542","MAR09802","GLS2"
"2543","MAR03899","GPT"
"2544","MAR03903","ASNS"
"2545","MAR04109","GPT2"
"2546","MAR04114","NIT2"
"2547","MAR04115","NIT2"
"2548","MAR04118","GSR"
"2549","MAR04172","ASRGL1"
"3264","MAR04172","ASPG"
"2550","MAR04196","KYAT1"
"2551","MAR04197","AADAT"
"3265","MAR04197","KYAT3"
"2552","MAR04287","LDHA"
"2553","MAR04690","GAD1"
"3266","MAR04690","GAD2"
"2554","MAR04693","ABAT"
"2555","MAR06780","GOT2"
"3267","MAR06780","TAT"
"2556","MAR06968","NAGS"
"2557","MAR06969","ASPA"
"3268","MAR06969","ACY3"
"2558","MAR06970","GPT"
"2559","MAR06971","GGCT"
"3269","MAR06971","GGACT"
"2560","MAR06972","GGCT"
"3270","MAR06972","GGACT"
"2561","MAR07641","DDO"
"2562","MAR07642","PLPBP"
"2563","MAR08626","NAT8L"
"2564","MAR08628","ASPA"
"3271","MAR08628","ACY3"
"2565","MAR03806","ALDH4A1"
"2566","MAR03807","OAT"
"2567","MAR03809","OTC"
"2568","MAR03816","ARG2"
"3272","MAR03816","ARG1"
"2569","MAR03819","ALDH4A1"
"2570","MAR03820","ALDH4A1"
"2572","MAR03833","PYCR3"
"3273","MAR03833","PYCR2"
"4193","MAR03833","PYCR1"
"5133","MAR03833","LEFTY1"
"2573","MAR03835","PYCR3"
"3274","MAR03835","PYCR2"
"4194","MAR03835","PYCR1"
"5134","MAR03835","LEFTY1"
"2574","MAR03837","PYCR3"
"3275","MAR03837","PYCR2"
"4195","MAR03837","PYCR1"
"5135","MAR03837","LEFTY1"
"2575","MAR03838","PRODH"
"3276","MAR03838","PRODH2"
"2576","MAR03895","ALDH18A1"
"2577","MAR03897","ALDH18A1"
"2578","MAR03956","CA5B"
"3277","MAR03956","CA5A"
"2579","MAR03993","NOS2"
"3278","MAR03993","NOS1"
"4196","MAR03993","NOS3"
"2580","MAR04073","AMD1"
"2581","MAR04075","SRM"
"2582","MAR04077","SMS"
"3279","MAR04077","SRM"
"2583","MAR04190","NOS2"
"3280","MAR04190","NOS1"
"4197","MAR04190","NOS3"
"2584","MAR04191","AZIN2"
"2585","MAR04212","ODC1"
"2586","MAR04422","ODC1"
"2587","MAR04423","AOC1"
"3281","MAR04423","AOC3"
"4198","MAR04423","AOC2"
"2588","MAR04424","AGMAT"
"2589","MAR04583","GAMT"
"2590","MAR04605","ALDH3A2"
"3282","MAR04605","ALDH2"
"4199","MAR04605","ALDH1B1"
"5136","MAR04605","ALDH9A1"
"6100","MAR04605","ALDH7A1"
"2591","MAR04606","CARNS1"
"2592","MAR04607","CNDP2"
"3283","MAR04607","CNDP1"
"2593","MAR04776","P4HA2"
"3284","MAR04776","P4HA1"
"4200","MAR04776","P4HA3"
"2594","MAR04777","P4HA2"
"3285","MAR04777","P4HA1"
"4201","MAR04777","P4HA3"
"2595","MAR04778","PYCR3"
"3286","MAR04778","PYCR2"
"4202","MAR04778","PYCR1"
"5137","MAR04778","LEFTY1"
"2596","MAR04779","PYCR3"
"3287","MAR04779","PYCR2"
"4203","MAR04779","PYCR1"
"5138","MAR04779","LEFTY1"
"2597","MAR04780","PYCR3"
"3288","MAR04780","PYCR2"
"4204","MAR04780","PYCR1"
"5139","MAR04780","LEFTY1"
"2598","MAR04781","PYCR3"
"3289","MAR04781","PYCR2"
"4205","MAR04781","PYCR1"
"5140","MAR04781","LEFTY1"
"2599","MAR04784","ALDH4A1"
"2600","MAR04785","ALDH4A1"
"2601","MAR04786","GOT1"
"3290","MAR04786","GOT2"
"2602","MAR04787","HOGA1"
"2603","MAR05384","MTAP"
"2604","MAR06929","SAT1"
"3291","MAR06929","SAT2"
"2605","MAR06930","SAT1"
"3292","MAR06930","SAT2"
"2606","MAR06931","AOC1"
"3293","MAR06931","AOC3"
"4206","MAR06931","AOC2"
"2607","MAR06932","AOC1"
"3294","MAR06932","AOC3"
"4207","MAR06932","AOC2"
"2608","MAR06933","AOC1"
"3295","MAR06933","AOC3"
"4208","MAR06933","AOC2"
"2609","MAR06934","AOC1"
"3296","MAR06934","AOC3"
"4209","MAR06934","AOC2"
"2616","MAR06935","AOC1"
"3297","MAR06935","AOC3"
"4210","MAR06935","AOC2"
"2617","MAR06936","AOC1"
"3298","MAR06936","AOC3"
"4211","MAR06936","AOC2"
"2618","MAR06938","SAT1"
"3299","MAR06938","SAT2"
"2619","MAR06939","SAT1"
"3300","MAR06939","SAT2"
"2621","MAR06941","AOC1"
"3301","MAR06941","AOC3"
