V1,V2
C4BPB,NFIC
C5,CD59
C6,CD59
C7,CD59
C8A,CD59
C8B,CD59
C8G,CD59
C9,CD59
CA9,SP3
CACNA1C,CAMK2G
CACNA1C,PPP2CA
CACNA1C,PPP2R5E
CACNA1C,PRKACB
CACNA1D,CAMK2G
CACNA1D,PPP2CA
CACNA1D,PPP2R5E
CACNA1D,PRKACB
CACNA1F,CAMK2G
CACNA1F,PPP2CA
CACNA1F,PPP2R5E
CACNA1F,PRKACB
CACNA1S,CAMK2G
CACNA1S,PPP2CA
CACNA1S,PPP2R5E
CACNA1S,PRKACB
CACNA2D1,CAMK2G
CACNA2D1,PPP2CA
CACNA2D1,PPP2R5E
CACNA2D1,PRKACB
CACNA2D2,CAMK2G
CACNA2D2,PPP2CA
CACNA2D2,PPP2R5E
CACNA2D2,PRKACB
CACNA2D3,CAMK2G
CACNA2D3,PPP2CA
CACNA2D3,PPP2R5E
CACNA2D3,PRKACB
CACNA2D4,CAMK2G
CACNA2D4,PPP2CA
CACNA2D4,PPP2R5E
CACNA2D4,PRKACB
CACNB1,CAMK2G
CACNB1,PPP2CA
CACNB1,PPP2R5E
CACNB1,PRKACB
CACNB2,CAMK2G
CACNB2,PPP2CA
CACNB2,PPP2R5E
CACNB2,PRKACB
CACNB3,CAMK2G
CACNB3,PPP2CA
CACNB3,PPP2R5E
CACNB3,PRKACB
CACNB4,CAMK2G
CACNB4,PPP2CA
CACNB4,PPP2R5E
CACNB4,PRKACB
CACNG1,CAMK2G
CACNG1,PPP2CA
CACNG1,PPP2R5E
CACNG1,PRKACB
CACNG2,CAMK2G
CACNG2,PPP2CA
CACNG2,PPP2R5E
CACNG2,PRKACB
CACNG3,CAMK2G
CACNG3,PPP2CA
CACNG3,PPP2R5E
CACNG3,PRKACB
CACNG4,CAMK2G
CACNG4,PPP2CA
CACNG4,PPP2R5E
CACNG4,PRKACB
CACNG5,CAMK2G
CACNG5,PPP2CA
CACNG5,PPP2R5E
CACNG5,PRKACB
CACNG6,CAMK2G
CACNG6,PPP2CA
CACNG6,PPP2R5E
CACNG6,PRKACB
CACNG7,CAMK2G
CACNG7,PPP2CA
CACNG7,PPP2R5E
CACNG7,PRKACB
CACNG8,CAMK2G
CACNG8,PPP2CA
CACNG8,PPP2R5E
CACNG8,PRKACB
CALCR,SP3
CALD1,MYH11
CALD1,PXN
CALM3,CAMK2G
CALM3,JAK1
CALM3,MYH11
CALM3,PHKB
CALM3,PRKACB
CALML3,CAMK2G
CALML3,PHKB
CALML3,PRKACB
CALML4,CAMK2G
CALML4,PHKB
CALML4,PRKACB
CALML5,CAMK2G
CALML5,PHKB
CALML5,PRKACB
CALML6,CAMK2G
CALML6,PHKB
CALML6,PRKACB
CAMK1,PPP2CA
CAMK2A,CAMK2G
CAMK2A,JAK1
CAMK2B,CAMK2G
CAMK2B,JAK1
CAMK2B,PHKB
CAMK2D,JAK1
CAMK2D,PTEN
CAMK2G,CDC25C
CAMK2G,CREB1
CAMK2G,CREB3
CAMK2G,CREB3L1
CAMK2G,CREB3L2
CAMK2G,CREB3L3
CAMK2G,CREB3L4
CAMK2G,CREB5
CAMK2G,CREBBP
CAMK2G,CYBB
CAMK2G,DKFZP686N2325
CAMK2G,DLG1
CAMK2G,DLG2
CAMK2G,DLG3
CAMK2G,DLG4
CAMK2G,EGFR
CAMK2G,EP300
CAMK2G,EPB41L1
CAMK2G,ETS1
CAMK2G,FBXO43
CAMK2G,FGF11
CAMK2G,FGF12
CAMK2G,FGF13
CAMK2G,FGF14
CAMK2G,FLNA
CAMK2G,FLNB
CAMK2G,FLNC
CAMK2G,FOXO1
CAMK2G,GRIA1
CAMK2G,GRIA2
CAMK2G,GRIA3
CAMK2G,GRIA4
CAMK2G,GRIN1
CAMK2G,GRIN2B
CAMK2G,GRM1
CAMK2G,GRM5
CAMK2G,HRAS
CAMK2G,HSF1
CAMK2G,IFNG
CAMK2G,IFNGR1
CAMK2G,IFNGR2
CAMK2G,ITPR1
CAMK2G,ITPR2
CAMK2G,ITPR3
CAMK2G,JAK1
CAMK2G,JAK2
CAMK2G,KRAS
CAMK2G,LRRC7
CAMK2G,MAPK1
CAMK2G,MAPK3
CAMK2G,MDM2
CAMK2G,MEF2B
CAMK2G,MEF2C
CAMK2G,MEF2D
CAMK2G,MYO6
CAMK2G,NEFL
CAMK2G,NOS1
CAMK2G,NOS3
CAMK2G,NR1H2
CAMK2G,NRAS
CAMK2G,PDE10A
CAMK2G,PDE3A
CAMK2G,PDE3B
CAMK2G,PDE4A
CAMK2G,PDE4B
CAMK2G,PDE4C
CAMK2G,PDE4D
CAMK2G,PIK3C3
CAMK2G,PLCB1
CAMK2G,PLCB2
CAMK2G,PLCB3
CAMK2G,PLCB4
CAMK2G,PLCG1
CAMK2G,PLCG1 VARIANT PROTEIN
CAMK2G,PLCG2
CAMK2G,PLN
CAMK2G,PPID
CAMK2G,PPM1F
CAMK2G,PPP1CA
CAMK2G,PPP1CB
CAMK2G,PPP1CC
CAMK2G,RANGRF
CAMK2G,RAP1A
CAMK2G,RAP1B
CAMK2G,RIPK3
CAMK2G,RYR2
CAMK2G,SCN1B
CAMK2G,SCN4B
CAMK2G,SCN5A
CAMK2G,SCN7A
CAMK2G,SLC25A31
CAMK2G,SLC25A4
CAMK2G,SLC25A5
CAMK2G,SLC25A6
CAMK2G,SLC6A3
CAMK2G,SLN
CAMK2G,SQSTM1
CAMK2G,SRI
CAMK2G,STAT1
CAMK2G,TRPV1
CAMK2G,VDAC1
CAMK2G,VDAC2
CAMK2G,VDAC3
CAMSAP3,TUBB3
CANX,HLA-DPA1
